Negative,Positive,All,negative_perc,positive_perc
2,23,25,8.0,92.0
13,29,42,30.952380952380953,69.04761904761905
5,31,36,13.88888888888889,86.11111111111111
10,13,23,43.47826086956522,56.52173913043478
11,28,39,28.205128205128204,71.7948717948718
13,33,46,28.26086956521739,71.73913043478261
12,13,25,48.0,52.0
31,239,270,11.481481481481481,88.51851851851852
38,124,162,23.456790123456788,76.5432098765432
9,31,40,22.5,77.5
33,171,204,16.176470588235293,83.82352941176471
1,12,13,7.6923076923076925,92.3076923076923
4,14,18,22.22222222222222,77.77777777777779
9,33,42,21.428571428571427,78.57142857142857
16,82,98,16.3265306122449,83.6734693877551
72,63,135,53.333333333333336,46.666666666666664
4,13,17,23.52941176470588,76.47058823529412
5,12,17,29.411764705882355,70.58823529411765
16,54,70,22.857142857142858,77.14285714285715
5,23,28,17.857142857142858,82.14285714285714
56,117,173,32.369942196531795,67.63005780346822
12,56,68,17.647058823529413,82.35294117647058
2,42,44,4.545454545454546,95.45454545454545
14,23,37,37.83783783783784,62.16216216216216
0,12,12,0.0,100.0
11,45,56,19.642857142857142,80.35714285714286
5,45,50,10.0,90.0
2,44,46,4.3478260869565215,95.65217391304348
68,72,140,48.57142857142857,51.42857142857142
5,34,39,12.82051282051282,87.17948717948718
30,39,69,43.47826086956522,56.52173913043478
24,103,127,18.89763779527559,81.10236220472441
8,29,37,21.62162162162162,78.37837837837837
10,19,29,34.48275862068966,65.51724137931035
18,32,50,36.0,64.0
5,20,25,20.0,80.0
48,118,166,28.915662650602407,71.08433734939759
20,38,58,34.48275862068966,65.51724137931035
10,10,20,50.0,50.0
2,10,12,16.666666666666664,83.33333333333334
2,41,43,4.651162790697675,95.34883720930233
15,19,34,44.11764705882353,55.88235294117647
6,17,23,26.08695652173913,73.91304347826086
10,11,21,47.61904761904761,52.38095238095239
61,94,155,39.35483870967742,60.64516129032258
54,100,154,35.064935064935064,64.93506493506493
33,134,167,19.760479041916167,80.23952095808383
26,41,67,38.80597014925373,61.19402985074627
27,104,131,20.610687022900763,79.38931297709924
34,176,210,16.19047619047619,83.80952380952381
12,111,123,9.75609756097561,90.2439024390244
27,86,113,23.893805309734514,76.10619469026548
9,28,37,24.324324324324326,75.67567567567568
10,23,33,30.303030303030305,69.6969696969697
3,54,57,5.263157894736842,94.73684210526315
6,45,51,11.76470588235294,88.23529411764706
21,13,34,61.76470588235294,38.23529411764706
58,172,230,25.217391304347824,74.78260869565217
6,43,49,12.244897959183673,87.75510204081633
